TOKEN	MORPH	SEG_BME	LABEL
chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
tamya	['tamya']	['D', 'M', 'M', 'M', 'F']	['N']
pasarishqa	['pasa', 'ri', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Pct', 'Prf']
veta	['Veta']	['D', 'M', 'M', 'F']	['UNK']
llanuyanqanmannawmi	['llanu', 'ya', 'nqa', 'n', 'man', 'naw', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['ADJ', 'Transf', 'Sub', 'Poss.3', 'Dat', 'Equ', 'Asrt']
qillayniipis	['qillay', 'ni', 'i', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['N',  '0', 'Poss.1Sg', 'Coord']
karutsarqa	['karu', 'tsa', 'rqa']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['ADJ', 'Transl', 'Pst']
warmikunam	['Warmi', 'kuna', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Pl', 'Asrt']
triiguta	['triigu', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
llushtaykaayan	['llushta', 'ykaa', 'ya', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Prog', 'Pl', '3']
mayuchaw	['mayu', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
allitam	['Alli', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Obj', 'Asrt']
nirinki	['ni', 'ri', 'nki']	['D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', '2']
nir	['ni', 'r']	['D', 'F', 'U']	['VTr', 'Cnv']
hurqaramunaq	['hurqa', 'ra', 'mu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'Rpst']
bolsillumpita	['bolsillu', 'm', 'pita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Abl']
kadenata	['kadena', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
papaanii	['Papaa', 'ni', 'i']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N',  '0', 'Poss.1Sg']
don	['don']	['D', 'M', 'F']	['N']
valentín	['Valentín']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
bruno	['Bruno']	['D', 'M', 'M', 'M', 'F']	['PROPN']
i	['i']	['U']	['CCONJ']
mamaanii	['mamaa', 'ni', 'i']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N',  '0', 'Poss.1Sg']
doña	['doña']	['D', 'M', 'M', 'F']	['N']
espírita	['Espírita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
quispe	['Quispe']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
awkinmi	['Awkin', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Asrt']
uraykaamun	['ura', 'ykaa', 'mu', 'n']	['D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Prog', 'Cis', '3']
markapita	['marka', 'pita']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
tsayran	['Tsayran']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
kedayarqaa	['keda', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pl', 'Pst', '1']
trankilu	['trankilu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADJ']
tsaynash	['Tsay', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Acp', 'Nfh']
nirqunaq	['ni', 'rqu', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'RecPst', 'Rpst']
bwenu	['Bwenu']	['D', 'M', 'M', 'M', 'F']	['INTJ']
shamushaqmi	['shamu', 'shaq', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VTr', 'Fut.1', 'Asrt']
tal	['tal']	['D', 'M', 'F']	['DET']
diya	['diya']	['D', 'M', 'M', 'F']	['N']
tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
las	['las']	['D', 'M', 'F']	['DET']
seisnawna	['seis', 'naw', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['NUM.Card', 'Equ', 'Acp']
pasakuyarqaa	['pasa', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Pl', 'Pst', '1']
sellama	['sellama']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
tamya	['tamya']	['D', 'M', 'M', 'M', 'F']	['N']
puqllallakuykaqta	['puqlla', 'lla', 'ku', 'yka', 'q', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Lim', 'Refl/Mid', 'Prog', 'Agt', 'Obj']
